ranking,rank,gene,score
Primary Tumor,0,POF1B,3.000000026675648
Primary Tumor,1,KRT2,3.0000000245324054
Primary Tumor,2,KRT78,3.0000000225625993
Primary Tumor,3,KRT25,3.0000000218277005
Primary Tumor,4,EVPL,3.000000020956276
Primary Tumor,5,MAGEA3,3.0000000198104644
Primary Tumor,6,ALOX12B,3.000000019339805
Primary Tumor,7,KRT17,3.000000019233693
Primary Tumor,8,S100A14,3.0000000188419436
Primary Tumor,9,IGHV3-15,3.0000000175917005
Primary Tumor,10,KRT35,3.000000016762253
Primary Tumor,11,TPSB2,3.0000000162420273
Primary Tumor,12,SPRR2G,3.000000015045102
Primary Tumor,13,LCE1E,3.0000000147461843
Primary Tumor,14,KRT6A,3.000000014507448
Primary Tumor,15,FGF5,3.000000014276363
Primary Tumor,16,IGKV2D-29,3.00000001413807
Primary Tumor,17,KRT71,3.0000000141151384
Primary Tumor,18,LY6G6C,3.0000000139500234
Primary Tumor,19,CELA2A,3.0000000136021705
Metastasis,0,RPTN,3.00000002071653
Metastasis,1,KRTAP4-7,3.00000002019968
Metastasis,2,DSC1,3.0000000157453117
Metastasis,3,ARG1,3.0000000147197974
Metastasis,4,DDX3Y,3.0000000131196094
Metastasis,5,LCE5A,3.000000011748262
Metastasis,6,DSC3,3.0000000114015353
Metastasis,7,LCE1A,3.000000010716317
Metastasis,8,KRTAP9-3,3.0000000101968656
Metastasis,9,SPRR2G,3.00000000999001
Metastasis,10,KRTAP3-2,3.000000009980654
Metastasis,11,GP1BB,3.0000000096841277
Metastasis,12,FAM83F,3.0000000089929757
Metastasis,13,GJB4,3.0000000089014542
Metastasis,14,CALML3,3.0000000086174867
Metastasis,15,KRT85,3.0000000085828953
Metastasis,16,KRT17,3.000000008468487
Metastasis,17,NLGN4Y,3.0000000082296476
Metastasis,18,IGHV3-15,3.000000007957268
Metastasis,19,LCE1D,3.000000007795757
Normal Tissue,0,IVL,3.0000000137394927
Normal Tissue,1,IGKV2D-40,3.000000009431387
Normal Tissue,2,KRTAP9-3,3.0000000081905593
Normal Tissue,3,IGHV1-3,3.0000000076911397
Normal Tissue,4,LCE1C,3.0000000072060375
Normal Tissue,5,LIPN,3.0000000070016175
Normal Tissue,6,KRT34,3.0000000069188104
Normal Tissue,7,LOR,3.0000000065993078
Normal Tissue,8,KRT35,3.000000006468534
Normal Tissue,9,KRT2,3.0000000064004007
Normal Tissue,10,IGHV3-15,3.000000006216912
Normal Tissue,11,PLA2G2D,3.0000000062121033
Normal Tissue,12,PKP1,3.0000000051108757
Normal Tissue,13,CALML5,3.0000000051014375
Normal Tissue,14,IGHV3-11,3.0000000049559934
Normal Tissue,15,DCD,3.0000000047278843
Normal Tissue,16,SPRR2D,3.0000000045894266
Normal Tissue,17,REG1B,3.000000004355243
Normal Tissue,18,GJB1,3.000000004209065
Normal Tissue,19,C1orf68,3.000000004067833
Metastasis - Primary,0,IGHV1-3,2.4318789204613722e-08
Metastasis - Primary,1,RPTN,2.106048491157253e-08
Metastasis - Primary,2,KRTAP4-7,2.06119787904413e-08
Metastasis - Primary,3,FLG2,2.041758850879205e-08
Metastasis - Primary,4,CALML3,1.935985771694959e-08
Metastasis - Primary,5,MMP1,1.9320893773766556e-08
Metastasis - Primary,6,IGKV2D-40,1.894209100683497e-08
Metastasis - Primary,7,LCE3E,1.827010986943378e-08
Metastasis - Primary,8,LGALS7,1.8182759298213114e-08
Metastasis - Primary,9,FAM83F,1.734267884856422e-08
Metastasis - Primary,10,PCP4,1.7291834186750066e-08
Metastasis - Primary,11,CTRB1,1.6845110195617963e-08
Metastasis - Primary,12,SPRR2A,1.6445548478571936e-08
Metastasis - Primary,13,SOSTDC1,1.6029158445007852e-08
Metastasis - Primary,14,ANXA8,1.4377650181529589e-08
Metastasis - Primary,15,SERPINB7,1.40466327458455e-08
Metastasis - Primary,16,LCE1B,1.3677895260855166e-08
Metastasis - Primary,17,LCE1D,1.3313867341935293e-08
Metastasis - Primary,18,GSDMA,1.2780722258298738e-08
Metastasis - Primary,19,CXCL13,1.2715662300877284e-08
Tumor - Normal,0,KRT17,1.5490745131074846e-08
Tumor - Normal,1,SPRR2G,1.268371763174514e-08
Tumor - Normal,2,S100A14,1.2200961130304222e-08
Tumor - Normal,3,RPTN,1.2135503713039952e-08
Tumor - Normal,4,DDX3Y,1.12314135769509e-08
Tumor - Normal,5,KRT25,1.1127429644375297e-08
Tumor - Normal,6,UTY,1.1072357697372581e-08
Tumor - Normal,7,KRT78,1.1034579028290636e-08
Tumor - Normal,8,NLGN4Y,1.0375521775074503e-08
Tumor - Normal,9,POF1B,1.0106836700884969e-08
Tumor - Normal,10,TPSB2,1.010632910691811e-08
Tumor - Normal,11,CELA2A,1.0031833141965762e-08
Tumor - Normal,12,ALOX12B,1.0004111317130082e-08
Tumor - Normal,13,DSC1,9.938972311829275e-09
Tumor - Normal,14,TPSAB1,9.914973286839768e-09
Tumor - Normal,15,LCE3D,9.477252316258955e-09
Tumor - Normal,16,KRT16,9.135409761995561e-09
Tumor - Normal,17,LY6G6C,8.963501052505762e-09
Tumor - Normal,18,GRHL2,8.887510727362269e-09
Tumor - Normal,19,KRT2,8.887434344018175e-09
[baseline] node degree,0,EVPL,29.0
[baseline] node degree,1,CDSN,27.0
[baseline] node degree,2,LCE1C,26.0
[baseline] node degree,3,LCE2B,19.0
[baseline] node degree,4,LCE2D,19.0
[baseline] node degree,5,KRT6A,18.0
[baseline] node degree,6,IVL,18.0
[baseline] node degree,7,SPRR2A,18.0
[baseline] node degree,8,LCE2C,18.0
[baseline] node degree,9,LCE1E,15.0
[baseline] node degree,10,LCE4A,15.0
[baseline] node degree,11,KRT2,14.0
[baseline] node degree,12,KRT15,14.0
[baseline] node degree,13,KRT79,14.0
[baseline] node degree,14,KRT77,13.0
[baseline] node degree,15,KRT35,13.0
[baseline] node degree,16,KRT34,13.0
[baseline] node degree,17,LCE3E,13.0
[baseline] node degree,18,LCE2A,13.0
[baseline] node degree,19,LCE3D,13.0
