,s0,s1,s2,s3,s4
s0,1.0,0.16811159895456484,0.07800833693137048,0.16487099968915586,0.32206815832414926
s1,0.16811159895456484,1.0,-0.012050039989143457,0.19098565188218414,0.22913161455591677
s2,0.07800833693137048,-0.012050039989143457,1.0,0.04842583410387188,0.08082453210730628
s3,0.16487099968915586,0.19098565188218414,0.04842583410387188,1.0,0.10080773469552719
s4,0.32206815832414926,0.22913161455591677,0.08082453210730628,0.10080773469552719,1.0
