ranking,rank,gene,score
[baseline] node degree,8,LCE2C,18.0
[baseline] node degree,9,LCE4A,15.0
[baseline] node degree,10,LCE1E,15.0
[baseline] node degree,11,KRT15,14.0
[baseline] node degree,12,KRT79,14.0
[baseline] node degree,13,KRT2,14.0
[baseline] node degree,14,KRT77,13.0
[baseline] node degree,15,KRT34,13.0
[baseline] node degree,16,LCE3D,13.0
[baseline] node degree,17,LCE3E,13.0
[baseline] node degree,18,KRT35,13.0
[baseline] node degree,19,LCE2A,13.0
