query_idx,query_id,query_class,rank,neighbor_id,neighbor_class,cosine,same_class
1102,GTEX-PSDG-0008-SM-48TE5,Normal Tissue,6,GTEX-ZVP2-0008-SM-51MSL,Normal Tissue,0.9927802681922913,True
1102,GTEX-PSDG-0008-SM-48TE5,Normal Tissue,7,GTEX-W5WG-0008-SM-4KL25,Normal Tissue,0.9926425814628601,True
1102,GTEX-PSDG-0008-SM-48TE5,Normal Tissue,8,GTEX-XUW1-0008-SM-4BOQH,Normal Tissue,0.9915985465049744,True
1102,GTEX-PSDG-0008-SM-48TE5,Normal Tissue,9,GTEX-RTLS-0008-SM-48FET,Normal Tissue,0.9897768497467041,True
668,GTEX-ZE9C-2526-SM-5IJDR,Normal Tissue,0,GTEX-XBEC-0726-SM-4QARZ,Normal Tissue,0.9991785287857056,True
668,GTEX-ZE9C-2526-SM-5IJDR,Normal Tissue,1,GTEX-Y8LW-1526-SM-5IFHL,Normal Tissue,0.9980465173721313,True
668,GTEX-ZE9C-2526-SM-5IJDR,Normal Tissue,2,GTEX-ZWKS-0626-SM-5GIDV,Normal Tissue,0.9977208375930786,True
668,GTEX-ZE9C-2526-SM-5IJDR,Normal Tissue,3,GTEX-12696-0126-SM-5EQ4L,Normal Tissue,0.9976865649223328,True
668,GTEX-ZE9C-2526-SM-5IJDR,Normal Tissue,4,GTEX-11NUK-2726-SM-5A5MC,Normal Tissue,0.99753338098526,True
668,GTEX-ZE9C-2526-SM-5IJDR,Normal Tissue,5,GTEX-12WS9-0126-SM-5EGL7,Normal Tissue,0.9970225691795349,True
668,GTEX-ZE9C-2526-SM-5IJDR,Normal Tissue,6,GTEX-11H98-0126-SM-5EGHG,Normal Tissue,0.9967768788337708,True
668,GTEX-ZE9C-2526-SM-5IJDR,Normal Tissue,7,GTEX-X5EB-2226-SM-46MW4,Normal Tissue,0.9962558150291443,True
668,GTEX-ZE9C-2526-SM-5IJDR,Normal Tissue,8,GTEX-11DZ1-0126-SM-5985Q,Normal Tissue,0.9962002038955688,True
668,GTEX-ZE9C-2526-SM-5IJDR,Normal Tissue,9,GTEX-X4EO-2926-SM-4E3JH,Normal Tissue,0.9951030611991882,True
234,GTEX-X5EB-0008-SM-46MU3,Normal Tissue,0,GTEX-T5JW-0008-SM-4DM5X,Normal Tissue,0.9994974136352539,True
234,GTEX-X5EB-0008-SM-46MU3,Normal Tissue,1,GTEX-P4QS-0008-SM-48TDY,Normal Tissue,0.9985043406486511,True
234,GTEX-X5EB-0008-SM-46MU3,Normal Tissue,2,GTEX-UJMC-0008-SM-4IHKK,Normal Tissue,0.997292160987854,True
234,GTEX-X5EB-0008-SM-46MU3,Normal Tissue,3,GTEX-WEY5-0008-SM-4LMKC,Normal Tissue,0.9972286820411682,True
234,GTEX-X5EB-0008-SM-46MU3,Normal Tissue,4,GTEX-QVJO-0008-SM-447AU,Normal Tissue,0.9951632022857666,True
234,GTEX-X5EB-0008-SM-46MU3,Normal Tissue,5,GTEX-11DXX-0008-SM-5Q5B8,Normal Tissue,0.9950994849205017,True
234,GTEX-X5EB-0008-SM-46MU3,Normal Tissue,6,GTEX-X3Y1-0008-SM-4PR12,Normal Tissue,0.9945703744888306,True
234,GTEX-X5EB-0008-SM-46MU3,Normal Tissue,7,GTEX-W5X1-0008-SM-4LMKA,Normal Tissue,0.9945107698440552,True
234,GTEX-X5EB-0008-SM-46MU3,Normal Tissue,8,GTEX-WHSE-0008-SM-4M1ZO,Normal Tissue,0.9930439591407776,True
234,GTEX-X5EB-0008-SM-46MU3,Normal Tissue,9,GTEX-RTLS-0008-SM-48FET,Normal Tissue,0.9920413494110107,True
366,GTEX-WEY5-0008-SM-4LMKC,Normal Tissue,0,GTEX-X3Y1-0008-SM-4PR12,Normal Tissue,0.9989093542098999,True
366,GTEX-WEY5-0008-SM-4LMKC,Normal Tissue,1,GTEX-UJMC-0008-SM-4IHKK,Normal Tissue,0.9984480142593384,True
366,GTEX-WEY5-0008-SM-4LMKC,Normal Tissue,2,GTEX-T5JW-0008-SM-4DM5X,Normal Tissue,0.9982742071151733,True
366,GTEX-WEY5-0008-SM-4LMKC,Normal Tissue,3,GTEX-11DXX-0008-SM-5Q5B8,Normal Tissue,0.9982704520225525,True
366,GTEX-WEY5-0008-SM-4LMKC,Normal Tissue,4,GTEX-X5EB-0008-SM-46MU3,Normal Tissue,0.9972286820411682,True
