,Primary Tumor,Metastasis,Benign Nevus,Metastasis - Primary,Tumor - Normal
SPRR2D,3.000000028263147,3.000000003558759,2.999999992685896,-2.4704387868723643e-08,2.3225056988707138e-08
TRIM71,3.0000000201317665,3.0000000118112387,2.9999999845400454,-8.320527822291979e-09,3.143145699269212e-08
DEFB103B,3.0000000197485504,2.9999999970670608,3.0000000267289577,-2.2681489575404612e-08,-1.8321152150946318e-08
LCE5A,3.0000000172757346,3.0000000020364666,3.0000000167972725,-1.523926806967779e-08,-7.1411716540126235e-09
FLRT3,3.0000000155091078,2.999999997578432,2.9999999851570465,-1.7930675610955404e-08,2.1386723503269423e-08
IGHV3-15,3.000000013426567,2.999999996315611,2.9999999910593034,-1.7110955763399716e-08,1.3811785937178911e-08
CRCT1,3.000000013132194,3.0000000004157688,2.999999985187057,-1.2716425246139806e-08,2.158692424814035e-08
KRT27,3.0000000126163306,3.0000000011654104,2.9999999902341195,-1.1450920212041638e-08,1.6656751089527688e-08
POU3F3,3.0000000107635665,2.999999995176204,2.999999977179061,-1.5587362511837455e-08,2.57908241430016e-08
LOR,3.0000000093037036,2.9999999972574822,2.999999969796722,-1.2046221353756437e-08,3.3483870787165415e-08
SPRR2A,3.0000000090374503,3.0000000049012736,3.000000013529529,-4.136176734448327e-09,-6.5601670762305275e-09
ITLN2,3.0000000090153174,3.0000000011265744,2.9999999906867743,-7.888742992179232e-09,1.4384171631576237e-08
IGKV2D-40,3.000000008692344,2.9999999996877857,2.9999999940395354,-9.00455843222403e-09,1.0150529750063697e-08
IGFL1,3.0000000083149065,2.9999999991907105,3.000000004807589,-9.124196065357637e-09,-1.0547802631322156e-09
LGALS7,3.0000000073471003,3.000000000648406,2.9999999927938914,-6.698694043905107e-09,1.1203861838282592e-08
NPTX2,3.000000006605458,2.9999999997390385,2.999999994179234,-6.866419433038118e-09,8.993014333213978e-09
KRT79,3.000000006434057,2.999999996626474,3.0000000019786435,-9.807582745935406e-09,-4.4837777934958467e-10
KRT6C,3.000000005971114,2.9999999986923807,3.0000000193715097,-7.278733171744989e-09,-1.7039762489901022e-08
TGM3,3.00000000594675,3.000000002262675,3.0000000008381904,-3.6840752670741495e-09,3.2665221638694675e-09
CARD18,3.0000000055697793,2.999999998839075,2.9999999863069715,-6.730704438240309e-09,1.589745535213183e-08
