,s0,s1,s2,s3,s4
s0,1.0,-0.10263985342742787,-0.08006409344192991,0.0037009802321166796,0.08740354695565726
s1,-0.10263985342742787,1.0,-0.02145893489631668,-0.05950419524479734,-0.06601461312490003
s2,-0.08006409344192991,-0.02145893489631668,1.0,-0.03784982899179501,-0.0896457737911403
s3,0.0037009802321166796,-0.05950419524479734,-0.03784982899179501,1.0,-0.08206119221460746
s4,0.08740354695565726,-0.06601461312490003,-0.0896457737911403,-0.08206119221460746,1.0
