sample_id,true_label,pseudotime_mean,pseudotime_std
GTEX-11ZUS-2626-SM-5FQUR,Normal Tissue,0.1841328740119934,0.051164480799470675
GTEX-X4EP-0626-SM-3P621,Normal Tissue,0.1856424629688263,0.021789913113372267
GTEX-ZE7O-0126-SM-57WC1,Normal Tissue,0.18887215256690978,0.04282597230307699
GTEX-X62O-0126-SM-4E3JN,Normal Tissue,0.1961268663406372,0.045519981640946235
GTEX-133LE-2326-SM-5K7W3,Normal Tissue,0.19682920575141907,0.03542577910543478
GTEX-12WSB-0126-SM-59HJN,Normal Tissue,0.19760480374097825,0.04395420645672403
GTEX-WI4N-1026-SM-3LK7N,Normal Tissue,0.1995323270559311,0.06869752559858759
GTEX-ZY6K-1826-SM-5GZXK,Normal Tissue,0.20716283619403839,0.025532040424393204
GTEX-W5X1-2526-SM-3GILC,Normal Tissue,0.20767971873283386,0.06895281129324839
GTEX-WI4N-2726-SM-3LK7Y,Normal Tissue,0.20840603709220887,0.036127650486421116
GTEX-13VXU-0626-SM-5L3F9,Normal Tissue,0.2090526193380356,0.05324817293671742
GTEX-1313W-0626-SM-5EQ4H,Normal Tissue,0.2091796562075615,0.05969948016371863
GTEX-ZVT2-0126-SM-5GIDQ,Normal Tissue,0.2106717050075531,0.05567460416536234
GTEX-13PVQ-0126-SM-5SIB4,Normal Tissue,0.21246595084667205,0.057941262677898786
GTEX-ZTTD-2826-SM-4YCFA,Normal Tissue,0.21639208644628524,0.056907046576041
GTEX-ZE9C-2726-SM-57WB5,Normal Tissue,0.2167884886264801,0.03292164677394928
GTEX-YECK-0326-SM-4W1YS,Normal Tissue,0.21762653887271882,0.020464113923546454
GTEX-12BJ1-0926-SM-5EQ62,Normal Tissue,0.22012616097927093,0.005247191795245366
GTEX-1399S-0126-SM-5IJCF,Normal Tissue,0.2377380460500717,0.08141993409308991
GTEX-12WSJ-1126-SM-5LZVJ,Normal Tissue,0.24402587711811066,0.06085125032856033
GTEX-ZUA1-2626-SM-5NQ92,Normal Tissue,0.2677973598241806,0.03939741125958608
GTEX-12WSB-2926-SM-59HKL,Normal Tissue,0.27293927073478697,0.049599729039013794
TCGA-EB-A57M-01,Primary Tumor,0.4353838086128235,0.024069681384409684
TCGA-EB-A3HV-01,Primary Tumor,0.4476989686489105,0.048712806111360266
GTEX-WFG7-0008-SM-4LMKB,Normal Tissue,0.4689165771007538,0.1067658611062246
TCGA-EB-A1NK-01,Primary Tumor,0.5163224935531616,0.032437383706449156
TCGA-BF-A3DJ-01,Primary Tumor,0.5183312177658081,0.04024455862936298
GTEX-T2YK-0008-SM-4DM6M,Normal Tissue,0.5290823578834534,0.12285704392412929
GTEX-WHSE-0008-SM-4M1ZO,Normal Tissue,0.5335044026374817,0.10600871612441967
GTEX-11DXX-0008-SM-5Q5B8,Normal Tissue,0.5345099747180939,0.08674560998275764
TCGA-DA-A1IC-06,Metastasis,0.5424624681472778,0.02750241824399876
GTEX-X3Y1-0008-SM-4PR12,Normal Tissue,0.5449116945266723,0.07719919254446765
GTEX-111VG-0008-SM-5Q5BG,Normal Tissue,0.545226389169693,0.10626928448321575
GTEX-ZQG8-0008-SM-4YCE7,Normal Tissue,0.5470528304576874,0.13172540287360904
GTEX-PSDG-0008-SM-48TE5,Normal Tissue,0.5480562150478363,0.11056319434576373
GTEX-WH7G-0008-SM-4LVNM,Normal Tissue,0.5484151363372802,0.0880933488356362
GTEX-P4QS-0008-SM-48TDY,Normal Tissue,0.5579436659812927,0.08915790788588655
GTEX-XUZC-0008-SM-4BOQG,Normal Tissue,0.559110552072525,0.10919619470830924
GTEX-ZV7C-0926-SM-59HL1,Normal Tissue,0.5623370289802552,0.05759418423390437
GTEX-WEY5-0008-SM-4LMKC,Normal Tissue,0.5629039347171784,0.10072955237551798
GTEX-RTLS-0008-SM-48FET,Normal Tissue,0.5667244970798493,0.12211606672264
GTEX-WXYG-0008-SM-4ONDU,Normal Tissue,0.568183982372284,0.12062210658376278
GTEX-QVJO-0008-SM-447AU,Normal Tissue,0.5689242601394653,0.11180877220786332
GTEX-W5WG-0008-SM-4KL25,Normal Tissue,0.5699071109294891,0.10033652722727462
GTEX-X5EB-0008-SM-46MU3,Normal Tissue,0.5725191771984101,0.10469114282537162
GTEX-S341-0008-SM-4AD6D,Normal Tissue,0.5748212695121765,0.1319195878395148
TCGA-FS-A1ZZ-06,Metastasis,0.5832574009895325,0.0514092284928032
GTEX-T5JW-0008-SM-4DM5X,Normal Tissue,0.5994494676589965,0.09454296303755232
GTEX-W5X1-0008-SM-4LMKA,Normal Tissue,0.6017168581485748,0.0925516495392853
GTEX-ZVP2-0008-SM-51MSL,Normal Tissue,0.6021865129470825,0.10384371352661365
GTEX-UJMC-0008-SM-4IHKK,Normal Tissue,0.6104642212390899,0.08992149488172542
TCGA-FS-A1ZQ-06,Metastasis,0.6147267937660217,0.023475192046360335
TCGA-ER-A2NG-06,Metastasis,0.6214622676372528,0.07350241537328576
GTEX-XUW1-0008-SM-4BOQH,Normal Tissue,0.6221699059009552,0.10042325231315963
GTEX-XBEW-0008-SM-4AT3Y,Normal Tissue,0.6240018486976624,0.08915983586523665
TCGA-ER-A197-06,Metastasis,0.6272280216217041,0.06261196849870265
GTEX-ZPIC-0008-SM-4E3JF,Normal Tissue,0.6282830178737641,0.11637153441953187
TCGA-EB-A51B-01,Primary Tumor,0.6312015295028687,0.023490736358540605
GTEX-UJHI-0008-SM-4IHL1,Normal Tissue,0.6324473559856415,0.09269217835820867
GTEX-Z93S-0008-SM-4RGM5,Normal Tissue,0.6329458117485046,0.09678444182801647
GTEX-ZVT3-0008-SM-51MRI,Normal Tissue,0.6333193600177764,0.11397255455465052
GTEX-OOBK-0008-SM-3NB27,Normal Tissue,0.6359578192234039,0.11151283835759675
TCGA-EE-A184-06,Metastasis,0.6374899744987488,0.0397022042980812
GTEX-Y8E4-0008-SM-4V6FW,Normal Tissue,0.6381545007228852,0.09826065862636237
GTEX-VUSG-0008-SM-4KL24,Normal Tissue,0.6514793574810028,0.1009630871052497
TCGA-FS-A1ZA-06,Metastasis,0.65903080701828,0.057273867749182826
TCGA-ER-A19N-06,Metastasis,0.6600016355514526,0.04366622030963997
GTEX-Y9LG-0008-SM-4VBRJ,Normal Tissue,0.6601274669170379,0.10274339948501374
TCGA-D3-A3CC-06,Metastasis,0.6608244180679321,0.05345191970467461
GTEX-R55D-0008-SM-48FEV,Normal Tissue,0.661206328868866,0.10694911402110628
GTEX-WWYW-0008-SM-4MVPF,Normal Tissue,0.6694727182388306,0.08277718955401484
GTEX-WVJS-0008-SM-4MVPC,Normal Tissue,0.6713867902755737,0.09213278478700679
TCGA-EE-A2MS-06,Metastasis,0.6749994277954101,0.02188257081055474
GTEX-RVPU-0008-SM-3NM8B,Normal Tissue,0.6793223023414612,0.08268238041614805
GTEX-WRHU-0008-SM-4MVPB,Normal Tissue,0.693012797832489,0.09483227628897323
TCGA-EB-A3Y7-01,Primary Tumor,0.693528413772583,0.0537356198282137
GTEX-WCDI-0008-SM-47JYE,Normal Tissue,0.6974231719970703,0.07676024334795956
TCGA-ER-A19O-06,Metastasis,0.7053018689155579,0.011527087711593276
TCGA-D3-A2JN-06,Metastasis,0.7095969200134278,0.04904843085374446
TCGA-EE-A2GK-06,Metastasis,0.7110630989074707,0.035103408308716805
TCGA-XV-AB01-06,Metastasis,0.7162641048431396,0.027434866458688877
GTEX-OHPM-0008-SM-4E3IP,Normal Tissue,0.7170346021652222,0.08861314682738566
TCGA-EE-A29L-06,Metastasis,0.7268699049949646,0.05501720044355685
GTEX-R55F-0008-SM-48FE6,Normal Tissue,0.7316451072692871,0.07785609422262443
TCGA-EB-A41A-01,Primary Tumor,0.732636320590973,0.04442485393968678
TCGA-EE-A3AG-06,Metastasis,0.7329777717590332,0.08025052490763368
GTEX-WYBS-0008-SM-4ONDX,Normal Tissue,0.7356364727020264,0.08220127791133298
TCGA-GN-A264-06,Metastasis,0.7382022619247437,0.03619267602305148
