gene,mean_rank,std_rank
SPRR2E,33.8,22.903274875004232
NLGN4Y,34.4,23.753736548172796
KRT17,36.4,13.821722034536798
IGKV1D-33,38.6,26.484712571594958
DSC1,40.6,29.117692216245434
CXCL9,45.2,23.94493683432888
KRTAP9-3,47.4,17.43100685560074
UBD,49.2,23.042569301186877
PLA2G4D,49.8,26.041505332833584
CMA1,49.8,13.46699669562594
KRT72,51.8,19.507947098554478
KRT6C,56.0,13.754999091239519
TPSD1,101.8,11.124747188138704
PLA1A,103.0,11.20714058089752
PAPD7,105.2,10.665833300778706
EPN3,105.8,5.706137047074842
CYP2C18,106.2,13.6
RP11-400N13.3,107.0,5.830951894845301
TGIF2-C20orf24,107.6,10.131140113531153
RP11-442J21.2,107.8,5.5641710972974225
