,Primary Tumor,Metastasis,Benign Nevus,Metastasis - Primary,Tumor - Normal
SATB2-AS1,3.0,3.0,3.0,0.0,0.0
OTOR,3.0,3.0,3.0,0.0,0.0
FOXL2,3.0,3.0,3.0,0.0,0.0
UGT1A7,3.0,3.0,3.0,0.0,0.0
RPL23AP20,3.0,3.0,3.0,0.0,0.0
PTP4A2P2,3.0,3.0,3.0,0.0,0.0
ADGRF5P1,3.0,3.0,3.0,0.0,0.0
PART1,3.0,3.0,3.0,0.0,0.0
MRPS18AP1,3.0,3.0,3.0,0.0,0.0
SLC51B,3.0,3.0,3.0,0.0,0.0
EEF1DP7,3.0,3.0,3.0,0.0,0.0
OR1F1,3.0,3.0,3.0,0.0,0.0
DDX39B-AS1,3.0,3.0,3.0,0.0,0.0
SLED1,3.0,3.0,3.0,0.0,0.0
FTH1P1,3.0,3.0,3.0,0.0,0.0
BTF3P4,3.0,3.0,3.0,0.0,0.0
KAAG1,3.0,3.0,3.0,0.0,0.0
RPL39P5,3.0,3.0,3.0,0.0,0.0
HOXB-AS2,3.0,3.0,3.0,0.0,0.0
RPL12P1,3.0,3.0,3.0,0.0,0.0
C1DP5,3.0,3.0,3.0,0.0,0.0
BFSP2,3.0,3.0,3.0,0.0,0.0
CLCA2,3.0,3.0,3.0,0.0,0.0
PGBD4P1,3.0,3.0,3.0,0.0,0.0
HMGB1P10,3.0,3.0,3.0,0.0,0.0
RPL23AP67,3.0,3.0,3.0,0.0,0.0
BNIP3P10,3.0,3.0,3.0,0.0,0.0
SAPCD1-AS1,3.0,3.0,3.0,0.0,0.0
ZEB2P1,3.0,3.0,3.0,0.0,0.0
PSMC1P5,3.0,3.0,3.0,0.0,0.0
GRM7-AS1,3.0,3.0,3.0,0.0,0.0
LBP,3.0,3.0,3.0,0.0,0.0
TPT1P6,3.0,3.0,3.0,0.0,0.0
VN1R83P,3.0,3.0,3.0,0.0,0.0
TUBB8P1,3.0,3.0,3.0,0.0,0.0
PACERR,3.0,3.0,3.0,0.0,0.0
UBBP1,3.0,3.0,3.0,0.0,0.0
ARMCX3-AS1,3.0,3.0,3.0,0.0,0.0
CDRT15P1,3.0,3.0,3.0,0.0,0.0
