,s0,s1,s2,s3,s4
s0,1.0,0.10983012407465269,0.09417445724717143,0.046369127288633495,-0.15944458233084638
s1,0.10983012407465269,1.0,0.061545833413226315,-0.019652802198106764,0.09508520507958239
s2,0.09417445724717143,0.061545833413226315,1.0,-0.01866302447720741,0.14557046006593863
s3,0.046369127288633495,-0.019652802198106764,-0.01866302447720741,1.0,-0.258286806068589
s4,-0.15944458233084638,0.09508520507958239,0.14557046006593863,-0.258286806068589,1.0
