,s0,s1,s2,s3,s4
s0,1.0,-0.04920317165818549,,0.11175043077329139,0.11711846051820231
s1,-0.04920317165818549,1.0,,-0.14100697723477537,0.10249707063916254
s2,,,1.0,,
s3,0.11175043077329139,-0.14100697723477537,,1.0,-0.040749495781917534
s4,0.11711846051820231,0.10249707063916254,,-0.040749495781917534,1.0
