query_idx,query_id,query_class,rank,neighbor_id,neighbor_class,cosine,same_class
3,GTEX-P4PQ-0126-SM-2S1NM,Normal Tissue,6,GTEX-RWSA-0126-SM-2XCBB,Normal Tissue,0.9981098771095276,True
3,GTEX-P4PQ-0126-SM-2S1NM,Normal Tissue,7,GTEX-WEY5-2326-SM-3GIKK,Normal Tissue,0.9980049729347229,True
3,GTEX-P4PQ-0126-SM-2S1NM,Normal Tissue,8,GTEX-13NYB-2526-SM-5K7Z6,Normal Tissue,0.9979876279830933,True
3,GTEX-P4PQ-0126-SM-2S1NM,Normal Tissue,9,GTEX-QVJO-1626-SM-2S1QW,Normal Tissue,0.9978600740432739,True
4,TCGA-FR-A3R1-01,Primary Tumor,0,TCGA-D3-A51E-06,Metastasis,0.9993821978569031,False
4,TCGA-FR-A3R1-01,Primary Tumor,1,TCGA-D3-A1QB-06,Metastasis,0.9989608526229858,False
4,TCGA-FR-A3R1-01,Primary Tumor,2,TCGA-D3-A1Q3-06,Metastasis,0.9983773827552795,False
4,TCGA-FR-A3R1-01,Primary Tumor,3,TCGA-D3-A2J7-06,Metastasis,0.9982399344444275,False
4,TCGA-FR-A3R1-01,Primary Tumor,4,TCGA-FS-A1ZT-06,Metastasis,0.9980399012565613,False
4,TCGA-FR-A3R1-01,Primary Tumor,5,TCGA-RP-A694-06,Metastasis,0.998013436794281,False
4,TCGA-FR-A3R1-01,Primary Tumor,6,TCGA-D3-A8GN-06,Metastasis,0.9979145526885986,False
4,TCGA-FR-A3R1-01,Primary Tumor,7,TCGA-DA-A1I1-06,Metastasis,0.9974725842475891,False
4,TCGA-FR-A3R1-01,Primary Tumor,8,TCGA-FR-A3YN-06,Metastasis,0.9969371557235718,False
4,TCGA-FR-A3R1-01,Primary Tumor,9,TCGA-RP-A693-06,Metastasis,0.9967849850654602,False
5,TCGA-EE-A29D-06,Metastasis,0,TCGA-WE-AAA3-06,Metastasis,0.9989142417907715,True
5,TCGA-EE-A29D-06,Metastasis,1,TCGA-D9-A6EA-06,Metastasis,0.9987449645996094,True
5,TCGA-EE-A29D-06,Metastasis,2,TCGA-ER-A3ET-06,Metastasis,0.9979954361915588,True
5,TCGA-EE-A29D-06,Metastasis,3,TCGA-FS-A1ZP-06,Metastasis,0.9978030920028687,True
5,TCGA-EE-A29D-06,Metastasis,4,TCGA-WE-A8ZY-06,Metastasis,0.9975224733352661,True
5,TCGA-EE-A29D-06,Metastasis,5,TCGA-EE-A2MQ-06,Metastasis,0.9973108768463135,True
5,TCGA-EE-A29D-06,Metastasis,6,TCGA-DA-A95X-06,Metastasis,0.9973086714744568,True
5,TCGA-EE-A29D-06,Metastasis,7,TCGA-WE-A8ZO-06,Metastasis,0.9972980618476868,True
5,TCGA-EE-A29D-06,Metastasis,8,TCGA-D3-A2JE-06,Metastasis,0.9972888231277466,True
5,TCGA-EE-A29D-06,Metastasis,9,TCGA-EB-A430-01,Primary Tumor,0.9972110986709595,False
