ranking,rank,gene,score
Primary Tumor,0,LCE2A,3.000000105054248
Primary Tumor,1,CIDEA,3.0000000657649557
Primary Tumor,2,FGF5,3.000000064520407
Primary Tumor,3,SERPINB12,3.0000000640036952
Primary Tumor,4,KRT1,3.0000000552342194
Primary Tumor,5,LGALS7,3.000000051843623
Primary Tumor,6,MAGEA3,3.0000000515021124
Primary Tumor,7,KRT73,3.00000004665436
Primary Tumor,8,KRT25,3.000000045511991
Primary Tumor,9,SPRR2D,3.000000045321817
Primary Tumor,10,KRT77,3.000000042866127
Primary Tumor,11,KLK11,3.000000042219957
Primary Tumor,12,PF4,3.0000000418998147
Primary Tumor,13,IGKV1D-33,3.000000039269454
Primary Tumor,14,PKP1,3.000000037491153
Primary Tumor,15,GJB3,3.000000035855919
Primary Tumor,16,KRT2,3.0000000354557628
Primary Tumor,17,CALML5,3.000000035022419
Primary Tumor,18,POF1B,3.000000034493701
Primary Tumor,19,S100A14,3.000000034381325
Metastasis,0,SPRR2G,3.000000026644365
Metastasis,1,DSC1,3.0000000254306944
Metastasis,2,FLG2,3.000000019973027
Metastasis,3,PLA2G2D,3.0000000189343243
Metastasis,4,GPR143,3.0000000177603092
Metastasis,5,SERPINB12,3.0000000175732033
Metastasis,6,RPTN,3.000000016057298
Metastasis,7,COL17A1,3.000000014554198
Metastasis,8,UTY,3.0000000126899087
Metastasis,9,GJB3,3.000000012139436
Metastasis,10,KRT33B,3.0000000115028254
Metastasis,11,SCGB1D2,3.0000000114039937
Metastasis,12,KRT6A,3.0000000111892415
Metastasis,13,PDZK1IP1,3.0000000108577263
Metastasis,14,POF1B,3.00000001072584
Metastasis,15,FAM83F,3.000000010642586
Metastasis,16,CRCT1,3.000000009969796
Metastasis,17,IGKV2D-40,3.000000009798301
Metastasis,18,GRHL2,3.000000009751495
Metastasis,19,KRT2,3.0000000097190345
Normal Tissue,0,IGHV3-15,3.0000000162689546
Normal Tissue,1,MAGEA3,3.0000000134854288
Normal Tissue,2,IGKV2D-29,3.0000000127958906
Normal Tissue,3,KRT15,3.0000000116706036
Normal Tissue,4,IGKV1-33,3.0000000108203646
Normal Tissue,5,CLDN8,3.000000010543524
Normal Tissue,6,LCE1E,3.000000009965396
Normal Tissue,7,KRT17,3.0000000096494697
Normal Tissue,8,IGKV2D-40,3.0000000096034825
Normal Tissue,9,POF1B,3.000000008992344
Normal Tissue,10,SPRR2E,3.0000000089417864
Normal Tissue,11,SFN,3.0000000083409413
Normal Tissue,12,KRT35,3.0000000081578038
Normal Tissue,13,LCE3D,3.0000000081096903
Normal Tissue,14,PLA2G2D,3.0000000080925484
Normal Tissue,15,ANXA8,3.0000000079554554
Normal Tissue,16,KRTAP9-2,3.0000000078007396
Normal Tissue,17,SOX10,3.000000007590087
Normal Tissue,18,IGHV1-3,3.000000006945563
Normal Tissue,19,MMP1,3.0000000068506156
Metastasis - Primary,0,PLA2G2D,7.295103365834166e-08
Metastasis - Primary,1,FLG2,6.386959894300048e-08
Metastasis - Primary,2,KPRP,6.33084504819692e-08
Metastasis - Primary,3,KRT27,5.5320740877107255e-08
Metastasis - Primary,4,LCE3E,4.781795492903029e-08
Metastasis - Primary,5,KRT71,4.665008423998529e-08
Metastasis - Primary,6,IGKV2D-40,4.410368292795397e-08
Metastasis - Primary,7,GAGE1,4.001444819934363e-08
Metastasis - Primary,8,ACER1,3.983914931282584e-08
Metastasis - Primary,9,KRT6B,3.7852959433593014e-08
Metastasis - Primary,10,S100A7,3.69270050093462e-08
Metastasis - Primary,11,CRCT1,3.5253445496152835e-08
Metastasis - Primary,12,KRT85,3.5001516796029364e-08
